地方,#genre#
游戏风云,http://110.178.52.119:8084/udp/239.1.1.83:8083
乐游,http://110.178.52.119:8084/udp/239.1.1.84:8084
东方财经,http://110.178.52.119:8084/udp/239.1.1.85:8085
快乐垂钓,http://110.178.52.119:8084/udp/239.1.1.86:8086
老故事,http://110.178.52.119:8084/udp/239.1.1.87:8087
书画频道,http://110.178.52.119:8084/udp/239.1.1.88:8088
汽摩,http://110.178.52.119:8084/udp/239.1.1.92:8092
百姓健康,http://110.178.52.119:8084/udp/239.1.1.105:8105
中华特产,http://110.178.52.119:8084/udp/239.1.1.106:8106
中国天气,http://110.178.52.119:8084/udp/239.1.1.107:8107
证券服务,http://110.178.52.119:8084/udp/239.1.1.108:8108
车迷频道,http://110.178.52.119:8084/udp/239.1.1.109:8109
生态环境,http://110.178.52.119:8084/udp/239.1.1.110:8110
四海钓鱼,http://110.178.52.119:8084/udp/239.1.1.111:8111
家庭理财,http://110.178.52.119:8084/udp/239.1.1.112:8112
财富天下,http://110.178.52.119:8084/udp/239.1.1.113:8113
优优宝贝,http://110.178.52.119:8084/udp/239.1.1.114:8114
优购物,http://110.178.52.119:8084/udp/239.1.1.115:8115
环球旅游,http://110.178.52.119:8084/udp/239.1.1.116:8116
黄河电视台,http://110.178.52.119:8084/udp/239.1.1.2:8002
山西经济与科技,http://110.178.52.119:8084/udp/239.1.1.3:8003
山西影视,http://110.178.52.119:8084/udp/239.1.1.4:8004
山西社会与法治,http://110.178.52.119:8084/udp/239.1.1.5:8005
山西文体生活,http://110.178.52.119:8084/udp/239.1.1.6:8006
晋中综合,http://110.178.52.119:8084/udp/239.1.1.120:8120
晋中公共,http://110.178.52.119:8084/udp/239.1.1.121:8121
运城1台,http://110.178.52.119:8084/udp/239.1.1.123:8123
运城2台,http://110.178.52.119:8084/udp/239.1.1.124:8124
盐湖频道,http://110.178.52.119:8084/udp/239.1.1.125:8125

CGTN,http://111.227.194.192:4022/rtp/239.254.200.12:8056
河北经济生活,http://111.227.194.192:4022/rtp/239.254.200.18:6000
河北都市,http://111.227.194.192:4022/rtp/239.254.200.19:6000
河北影视剧,http://111.227.194.192:4022/rtp/239.254.200.20:6000
河北少儿科教,http://111.227.194.192:4022/rtp/239.254.200.21:6000
河北公共,http://111.227.194.192:4022/rtp/239.254.200.22:6000
河北农民,http://111.227.194.192:4022/rtp/239.254.200.23:6000
睛彩河北,http://111.227.194.192:4022/rtp/239.254.200.27:6000
三佳购物,http://111.227.194.192:4022/rtp/239.254.200.143:6000
优购物,http://111.227.194.192:4022/rtp/239.254.201.78:6283
快乐购,http://111.227.194.192:4022/rtp/239.254.201.79:7196
家有购物,http://111.227.194.192:4022/rtp/239.254.201.80:7192
聚鲨环球精选,http://111.227.194.192:4022/rtp/239.254.201.81:7191
家家购物,http://111.227.194.192:4022/rtp/239.254.201.144:7262
央广购物,http://111.227.194.192:4022/rtp/239.254.201.202:7268
河北杂技频道,http://111.227.194.192:4022/rtp/239.254.201.139:7203
石家庄新闻综合,http://111.227.194.192:4022/rtp/239.254.200.157:6000
石家庄娱乐,http://111.227.194.192:4022/rtp/239.254.200.29:6000
石家庄生活,http://111.227.194.192:4022/rtp/239.254.200.30:6000
石家庄都市,http://111.227.194.192:4022/rtp/239.254.200.31:6000
承德新闻综合,http://111.227.194.192:4022/rtp/239.254.200.32:6000
承德公共,http://111.227.194.192:4022/rtp/239.254.200.33:6000
张家口新闻综合,http://111.227.194.192:4022/rtp/239.254.200.35:6000
张家口公共,http://111.227.194.192:4022/rtp/239.254.200.36:6000
秦皇岛新闻综合,http://111.227.194.192:4022/rtp/239.254.200.39:6000
秦皇岛公共,http://111.227.194.192:4022/rtp/239.254.200.40:6000
秦皇岛影视,http://111.227.194.192:4022/rtp/239.254.200.41:6000
唐山新闻综合,http://111.227.194.192:4022/rtp/239.254.200.166:6000
唐山生活服务,http://111.227.194.192:4022/rtp/239.254.200.167:6000
唐山影视,http://111.227.194.192:4022/rtp/239.254.200.168:6000
唐山公共,http://111.227.194.192:4022/rtp/239.254.200.169:6000
廊坊新闻,http://111.227.194.192:4022/rtp/239.254.200.183:6000
廊坊公共,http://111.227.194.192:4022/rtp/239.254.200.184:6000
沧州新闻综合,http://111.227.194.192:4022/rtp/239.254.200.42:6000
