卫视,#genre#
山东卫视,http://111.227.194.192:4022/rtp/239.254.200.55:8052
云南卫视,http://111.227.194.192:4022/rtp/239.254.200.68:8108
河南卫视,http://111.227.194.192:4022/rtp/239.254.201.16:7174
黑龙江卫视,http://111.227.194.192:4022/rtp/239.254.200.49:8016
四川卫视,http://111.227.194.192:4022/rtp/239.254.200.202:6325
江西卫视,http://111.227.194.192:4022/rtp/239.254.201.12:6290
贵州卫视,http://111.227.194.192:4022/rtp/239.254.201.20:6315
深圳卫视,http://111.227.194.192:4022/rtp/239.254.200.50:8020
湖北卫视,http://111.227.194.192:4022/rtp/239.254.200.164:6000
东方卫视,http://111.227.194.192:4022/rtp/239.254.200.52:8032
重庆卫视,http://111.227.194.192:4022/rtp/239.254.200.203:6323
山西卫视,http://111.227.194.192:4022/rtp/239.254.200.83:8172
广东卫视,http://111.227.194.192:4022/rtp/239.254.200.56:8048
广西卫视,http://111.227.194.192:4022/rtp/239.254.200.80:8300
吉林卫视,http://111.227.194.192:4022/rtp/239.254.201.15:6339
陕西卫视,http://111.227.194.192:4022/rtp/239.254.200.82:8140
内蒙古卫视,http://111.227.194.192:4022/rtp/239.254.200.84:8176
青海卫视,http://111.227.194.192:4022/rtp/239.254.200.85:8184
海南卫视,http://111.227.194.192:4022/rtp/239.254.201.125:6288
宁夏卫视,http://111.227.194.192:4022/rtp/239.254.200.87:8124
西藏卫视,http://111.227.194.192:4022/rtp/239.254.200.88:8164
新疆卫视,http://111.227.194.192:4022/rtp/239.254.200.89:8160
甘肃卫视,http://111.227.194.192:4022/rtp/239.254.200.90:8188
凤凰卫视电影台,http://111.227.194.192:4022/rtp/239.254.201.1:5214
凤凰卫视中文台,http://111.227.194.192:4022/rtp/239.254.201.2:5226
凤凰卫视资讯台,http://111.227.194.192:4022/rtp/239.254.201.3:5227

湖南卫视,http://110.178.52.190:8082/udp/239.1.1.28:8028
四川卫视,http://110.178.52.190:8082/udp/239.1.1.29:8029
吉林卫视,http://110.178.52.190:8082/udp/239.1.1.30:8030
上海卫视,http://110.178.52.190:8082/udp/239.1.1.31:8031
湖北卫视,http://110.178.52.190:8082/udp/239.1.1.32:8032
东南卫视,http://110.178.52.190:8082/udp/239.1.1.33:8033
河南卫视,http://110.178.52.190:8082/udp/239.1.1.34:8034
江苏卫视,http://110.178.52.190:8082/udp/239.1.1.35:8035
重庆卫视,http://110.178.52.190:8082/udp/239.1.1.36:8036
黑龙江卫视,http://110.178.52.190:8082/udp/239.1.1.37:8037
浙江卫视,http://110.178.52.190:8082/udp/239.1.1.38:8038
深圳卫视,http://110.178.52.190:8082/udp/239.1.1.39:8039
广西卫视,http://110.178.52.190:8082/udp/239.1.1.40:8040
北京卫视,http://110.178.52.190:8082/udp/239.1.1.41:8041
辽宁卫视,http://110.178.52.190:8082/udp/239.1.1.42:8042
贵州卫视,http://110.178.52.190:8082/udp/239.1.1.43:8043
安徽卫视,http://110.178.52.190:8082/udp/239.1.1.44:8044
天津卫视,http://110.178.52.190:8082/udp/239.1.1.46:8046
山东卫视,http://110.178.52.190:8082/udp/239.1.1.47:8047
河北卫视,http://110.178.52.190:8082/udp/239.1.1.48:8048
广东卫视,http://110.178.52.190:8082/udp/239.1.1.49:8049
江西卫视,http://110.178.52.190:8082/udp/239.1.1.52:8052
陕西卫视,http://110.178.52.190:8082/udp/239.1.1.50:8050
甘肃卫视,http://110.178.52.190:8082/udp/239.1.1.51:8051
青海卫视,http://110.178.52.190:8082/udp/239.1.1.53:8053
云南卫视,http://110.178.52.190:8082/udp/239.1.1.54:8054
海南卫视,http://110.178.52.190:8082/udp/239.1.1.55:8055
宁夏卫视,http://110.178.52.190:8082/udp/239.1.1.56:8056
西藏卫视,http://110.178.52.190:8082/udp/239.1.1.57:8057
兵团卫视,http://110.178.52.190:8082/udp/239.1.1.58:8058
新疆卫视,http://110.178.52.190:8082/udp/239.1.1.59:8059
内蒙古卫视,http://110.178.52.190:8082/udp/239.1.1.60:8060
大湾区卫视,http://110.178.52.190:8082/udp/239.1.1.69:8069
三沙卫视,http://110.178.52.190:8082/udp/239.1.1.70:8070
厦门卫视,http://110.178.52.190:8082/udp/239.1.1.71:8071
农林卫视,http://110.178.52.190:8082/udp/239.1.1.73:8073
山东教育卫视,http://110.178.52.190:8082/udp/239.1.1.74:8074
山西卫视,http://110.178.52.190:8082/udp/239.1.1.1:8001

湖南卫视,http://110.178.52.190:8085/udp/239.1.1.28:8028
四川卫视,http://110.178.52.190:8085/udp/239.1.1.29:8029
吉林卫视,http://110.178.52.190:8085/udp/239.1.1.30:8030
上海卫视,http://110.178.52.190:8085/udp/239.1.1.31:8031
湖北卫视,http://110.178.52.190:8085/udp/239.1.1.32:8032
